YYYYMM,Natural Gas Gross Withdrawals,Natural Gas Marketed Production (Wet),NGPL Production,Natural Gas Production (Dry),Supplemental Gaseous Fuels,Natural Gas Imports,Natural Gas Exports,Natural Gas Net Imports,Natural Gas Net Storage Withdrawals,Natural Gas Balancing Item,Natural Gas Consumption
201209,2410.375,2094.289,103.542,1990.747,5.083,257.99,137.374,120.616,-294.63,-14.607,1807.208
201210,2557.14,2168.774,107.225,2061.55,5.264,253.402,139.93,113.472,-245.68,-33.521,1901.084
201211,2471.365,2101.833,103.915,1997.917,5.101,233.853,142.299,91.555,129.353,-56.085,2167.841
201212,2523.763,2152.64,106.427,2046.213,5.225,252.066,158.538,93.528,391.681,-32.739,2503.907
201301,2512.031,2136.4,113.389,2023.011,4.567,278.078,154.442,123.636,732.132,-4.562,2878.785
201302,2269.907,1935.275,102.714,1832.561,4.137,236.875,133.003,103.872,612.753,13.831,2567.155
201303,2504,2136.856,113.413,2023.443,4.568,248.29,148.544,99.747,386.607,6.743,2521.108
201304,2446.307,2094.623,111.172,1983.451,4.478,220.608,125.771,94.838,-141.082,25.773,1967.458
201305,2488.677,2157.048,114.485,2042.563,4.612,234.183,142.071,92.112,-426.168,39.351,1752.469
201306,2385.386,2084.393,110.629,1973.764,4.456,236.69,133.808,102.883,-378.744,40.558,1742.917
201307,2512.441,2196.404,116.574,2079.83,4.696,236.199,128.612,107.587,-280.545,14.762,1926.33
201308,2495.089,2191.677,116.323,2075.354,4.686,236.248,130.324,105.924,-277.858,19.274,1927.379
201309,2414.405,2115.463,112.278,2003.186,4.523,243.881,122.421,121.459,-361.096,-1.099,1766.973
201310,2513.172,2192.6,116.372,2076.228,4.688,220.43,122.406,98.024,-260.928,-51.249,1866.762
201311,2455.169,2143.606,113.771,2029.834,4.583,218.693,113.682,105.011,215.825,-38.344,2316.909
201312,2525.967,2177.887,115.591,2062.296,4.656,273.181,117.329,155.851,725.261,-27.239,2920.826
201401,2580.019,2198.795,128.592,2070.203,4.769,295.356,134.807,160.549,991.698,-23.09,3204.129
201402,2356.978,2033.039,118.898,1914.141,4.41,245.422,138.55,106.873,745.094,-29.277,2741.24
201403,2623.914,2267.138,132.589,2134.549,4.917,234.189,149.508,84.681,363.369,-29.626,2557.89
201404,2583.873,2247.677,131.451,2116.226,4.875,200.669,121.928,78.741,-223.984,-14.18,1961.678
201405,2633.253,2310.058,135.099,2174.959,5.01,206.657,114.105,92.552,-488.355,26.056,1810.222
201406,2560.033,2247.082,131.416,2115.666,4.874,201.655,119.864,81.791,-472.898,15.917,1745.351
201407,2629.156,2371.359,138.684,2232.675,5.143,201.176,127.301,73.875,-408.885,-21.791,1881.017
201408,2644.937,2384.273,139.439,2244.834,5.171,206.554,115.376,91.178,-382.555,-25.567,1933.061
201409,2625.503,2306.544,134.893,2171.651,5.003,201.622,119.891,81.731,-431.027,-18.067,1809.291
201410,2735.719,2407.07,140.772,2266.298,5.221,220.858,115.069,105.789,-409.465,-55.033,1912.81
201411,2661.917,2314.517,135.36,2179.157,5.02,227.485,120.861,106.623,168.361,-101.64,2357.521
201412,2770.08,2410.202,140.956,2269.247,5.228,253.736,136.982,116.754,295.13,-7.194,2679.165
201501,2790.052,2420.352,143.561,2276.791,4.932,279.397,144.522,134.875,740.664,-42.28,3114.982
201502,2520.509,2196.987,130.312,2066.675,4.476,254.23,144.955,109.275,757.21,-12.465,2925.172
201503,2827.524,2443.119,144.911,2298.208,4.978,257.274,163.967,93.307,200.796,-5.961,2591.329
201504,2758.73,2398.44,142.261,2256.179,4.887,205.12,130.328,74.792,-329.264,1.328,2007.922
201505,2790.849,2442.713,144.887,2297.826,4.977,204.348,134.274,70.074,-507.084,-7.645,1858.149
201506,2660.158,2358.416,139.887,2218.529,4.805,206.273,138.179,68.093,-370.037,-21.485,1899.906
201507,2756.222,2444.753,145.008,2299.745,4.981,216.973,143.82,73.153,-291.603,-18.562,2067.714
201508,2744.748,2447.534,145.173,2302.361,4.987,213.875,144.885,68.991,-316.928,-6.684,2052.728
201509,2721.449,2383.531,141.377,2242.155,4.857,208.818,162.573,46.245,-380.599,-11.321,1901.337
201510,2806.078,2445.042,145.025,2300.017,4.982,226.286,158.517,67.768,-338.73,-46.727,1987.31
201511,2726.22,2356.237,139.758,2216.479,4.801,218.242,155.739,62.503,16.475,-51.118,2249.14
201512,2812.11,2434.92,144.425,2290.495,4.961,227.257,161.754,65.503,272.196,-44.988,2588.168
201601,2823.104,2435.375,155.035,2280.34,4.904,273.6,168.521,105.079,741.143,-39.772,3091.695
201602,2653.842,2310.521,147.087,2163.435,4.653,251.775,162.757,89.019,411.17,-16.015,2652.26
201603,2824.983,2441.976,155.455,2286.521,4.917,240.764,194.915,45.849,52.727,-33.717,2356.298
201604,2678.61,2361.554,150.335,2211.218,4.755,241.317,177.853,63.464,-170.548,-25.042,2083.848
201605,2767.844,2412.475,153.577,2258.898,4.858,248.317,188.274,60.043,-336.845,-21.156,1965.799
201606,2628.164,2312.288,147.199,2165.089,4.656,241.885,183.013,58.872,-228.85,0.888,2000.656
201607,2721.21,2408.915,153.35,2255.564,4.851,265.022,188.682,76.339,-138.904,-11.234,2186.616
201608,2722.631,2389.813,152.134,2237.678,4.812,261.983,214.226,47.757,-129.65,47.777,2208.375
201609,2626.213,2297.402,146.252,2151.15,4.626,238.491,201.986,36.505,-269.618,25.089,1947.752
201610,2720.187,2364.679,150.534,2214.145,4.762,231.449,176.466,54.983,-316.367,-32.32,1925.203
201611,2678.247,2307.494,146.894,2160.6,4.646,231.044,227.919,3.125,38.639,-47.567,2159.445
201612,2746.543,2357.556,150.081,2207.475,4.747,280.791,250.836,29.955,687.508,-63.412,2866.273
201701,2723.628,2339.431,151.984,2187.447,5.263,291.656,269.96,21.696,687.268,12.604,2914.277
201702,2493.267,2142.588,139.196,2003.393,4.82,254.597,253.227,1.37,291.563,39.372,2340.517
201703,2797.117,2425.799,157.595,2268.204,5.457,280.567,273.345,7.222,281.497,-38.726,2523.654
201704,2689.967,2350.432,152.698,2197.733,5.288,238.279,242.424,-4.146,-235.891,-30.917,1932.067
201705,2778.965,2428.739,157.786,2270.953,5.464,244.353,248.867,-4.514,-347.723,-32.605,1891.574
201706,2688.422,2373.176,154.176,2219,5.339,239.805,253.322,-13.517,-287.064,-14.075,1909.683
201707,2753.997,2477.573,160.958,2316.614,5.574,250.508,248.801,1.707,-154.78,-27.982,2141.134
201708,2769.67,2476.18,160.868,2315.312,5.57,247.888,247.302,0.586,-201.367,-26.618,2093.483
201709,2763.285,2438.213,158.401,2279.811,5.485,229.444,248.916,-19.472,-323.349,-22.96,1919.516
201710,2911.373,2564.255,166.59,2397.665,5.769,241.338,279.775,-38.437,-253.596,-80.449,2030.95
201711,2897.003,2558.771,166.233,2392.537,5.756,240.314,287.727,-47.413,90.456,-84.177,2357.16
201712,3025.419,2662.67,170.757,2491.914,5.913,274.478,300.138,-25.661,707.086,-93.56,3085.692
201801,2993.178,2618.315,177.251,2441.063,5.5,299.891,300.234,-0.342,913.41,-18.191,3341.44
201802,2751.215,2414.348,163.444,2250.905,5.072,237.417,275.652,-38.235,476.95,16.55,2711.241
201803,3069.284,2704.217,183.067,2521.151,5.681,270.762,291.468,-20.705,292.55,-0.858,2797.818
201804,2976.108,2612.541,176.861,2435.681,5.488,242.264,278.941,-36.677,-37.154,-15.829,2351.509
201805,3098.558,2730.667,184.857,2545.81,5.736,227.168,272.116,-44.947,-433.358,-17.135,2056.106
201806,2972.738,2655.954,179.799,2476.154,5.579,228.469,261.995,-33.526,-357.739,-26.21,2064.26
201807,3138.242,2799.146,189.493,2609.653,5.88,247.012,305.997,-58.986,-193.992,-10.34,2352.215
201808,3206.177,2855.6,193.315,2662.285,5.999,237.025,311.449,-74.424,-243.939,-34.586,2315.335
201809,3153.978,2808.817,190.148,2618.67,5.901,214.074,301.742,-87.667,-343.832,-35.856,2157.215
201810,3314.676,2939.25,198.978,2740.273,6.175,215.128,306.653,-91.525,-299.401,-69.508,2286.013
201811,3259.912,2894.098,195.921,2698.177,6.08,212.486,337.789,-125.302,211.877,-74.603,2716.229
201812,3391.473,2975.914,201.46,2774.454,6.252,257.148,363.806,-106.658,328.89,-3.015,2999.923
201901,3376.735,2974.83,207.962,2766.868,4.96,290.886,364.787,-73.9,722.237,4.88,3425.044
201902,3056.916,2705.249,189.116,2516.133,4.51,233.344,329.954,-96.61,579.543,16.5,3020.076
201903,3383.042,3008.808,210.337,2798.471,5.016,252.989,373.539,-120.55,252.615,-7.027,2928.525
201904,3315.27,2925.844,204.537,2721.306,4.878,206.559,338.213,-131.654,-389.368,8.335,2213.498
201905,3424.018,3046.445,212.968,2833.477,5.079,207.651,368.568,-160.917,-480.271,-62.231,2135.137
201906,3299.794,2956.304,206.667,2749.637,4.929,201.163,360.226,-159.063,-439.124,-36.111,2120.269
201907,3395.984,3071.698,214.733,2856.964,5.121,230.407,393.4,-162.993,-260.342,-43.57,2395.18
201908,3448.106,3146.384,219.954,2926.429,5.246,220.076,384.983,-164.907,-292.461,-39.139,2435.169
201909,3396.571,3056.535,213.673,2842.862,5.096,208.286,394.511,-186.225,-427.095,-27.517,2207.12
201910,3551.97,3186.15,222.734,2963.416,5.312,210.537,425.775,-215.237,-352.691,-93.331,2307.468
201911,3509.293,3133.926,219.084,2914.843,5.225,223.765,441.944,-218.18,155.624,-73.284,2784.228
201912,3622.512,3234.746,226.132,3008.614,5.393,256.053,481.757,-225.704,427.898,-44.618,3171.583
