YYYYMM,Natural Gas Gross Withdrawals,Natural Gas Marketed Production (Wet),NGPL Production,Natural Gas Production (Dry),Supplemental Gaseous Fuels,Natural Gas Imports,Natural Gas Exports,Natural Gas Net Imports,Natural Gas Net Storage Withdrawals,Natural Gas Balancing Item,Natural Gas Consumption
197707,,1674,72,1602,,72.499,7.016,65.483,-321,-21.483,1325
197708,,1645,71,1574,,76.453,5.141,71.312,-259,-22.312,1364
197709,,1599,69,1530,,75.446,4.621,70.825,-251,77.175,1427
197710,,1628,70,1558,,84.828,4.622,80.207,-108,-12.207,1518
197711,,1606,69,1537,,86.3,4.735,81.565,77,-5.565,1690
197712,,1726,74,1652,,89.536,4.896,84.64,372,-0.64,2108
197801,,1743,74,1669,,85.796,5.005,80.791,641,-8.791,2382
197802,,1649,70,1579,,77.256,4.908,72.348,505,-17.348,2139
197803,,1748,75,1673,,85.621,4.775,80.846,186,-21.846,1918
197804,,1668,71,1597,,78.313,3.182,75.132,-108,-25.132,1539
197805,,1664,71,1593,,73.829,4.615,69.214,-255,-27.214,1380
197806,,1623,69,1554,,68.327,4.592,63.734,-339,-29.734,1249
197807,,1693,72,1621,,71.557,4.616,66.941,-325,-29.941,1333
197808,,1658,71,1587,,73.604,4.615,68.989,-339,-31.989,1285
197809,,1576,67,1509,,73.236,6.097,67.139,-313,-28.139,1235
197810,,1635,70,1565,,80.197,3.236,76.961,-176,-25.961,1440
197811,,1607,69,1538,,90.783,3.307,87.476,54,-21.476,1658
197812,,1710,73,1637,,107.026,3.584,103.442,349,-20.442,2069
197901,,1772,70,1702,,102.237,6.589,95.648,655,-26.648,2426
197902,,1656,65,1591,,96.612,4.899,91.714,546,-24.714,2204
197903,,1755,69,1686,,112.962,4.789,108.173,116,-29.173,1881
197904,,1693,67,1626,,105.864,4.664,101.2,-102,-31.2,1594
197905,,1716,68,1648,,104.317,4.652,99.665,-284,-34.665,1429
197906,,1643,65,1578,,100.633,4.61,96.023,-329,-36.023,1309
197907,,1662,66,1596,,103.754,6.075,97.679,-329,-34.679,1330
197908,,1689,67,1622,,96.985,4.628,92.357,-336,-36.357,1342
197909,,1635,65,1570,,97.936,4.645,93.291,-300,-34.291,1329
197910,,1705,67,1638,,107.418,3.18,104.238,-155,-30.238,1557
197911,,1724,68,1656,,114.564,3.395,111.17,28,-27.17,1768
197912,,1823,72,1751,,110.099,3.548,106.551,242,-27.551,2072
198001,1960,1821,70,1751,17,118.006,6.444,111.562,416,-57.819,2237.743
198002,1840,1709,66,1643,16,108.192,4.857,103.335,440,-55.564,2146.771
198003,1971,1830,70,1760,16,108.648,4.799,103.849,231,-56.904,2053.945
198004,1806,1670,64,1606,12,77.257,3.245,74.012,-104,-53.406,1534.606
198005,1840,1695,65,1630,11,70.207,3.144,67.063,-297,-54.177,1356.886
198006,1725,1586,61,1525,10,61.256,3.147,58.109,-287,-51.215,1254.894
198007,1756,1616,62,1554,10,60.6,2.585,58.015,-273,-53.676,1295.339
198008,1716,1576,61,1515,10,59.966,2.598,57.368,-250,-50.025,1282.343
198009,1723,1579,61,1518,10,60.19,5.051,55.139,-235,-48.853,1299.286
198010,1790,1648,63,1585,12,74.355,4.546,69.809,-93,-51.543,1522.266
198011,1790,1652,64,1588,14,88.279,3.5,84.779,127,-53.22,1760.559
198012,1949,1798,69,1729,16,97.806,4.818,92.988,348,-57.031,2128.957
198101,1890,1752,68,1684,20,91.149,5.468,85.681,533,-44.075,2278.606
198102,1702,1573,61,1512,17,84.706,4.696,80.01,325,-39.007,1895.003
198103,1871,1735,67,1668,17,79.82,5.32,74.5,183,-43.069,1899.431
198104,1808,1674,65,1609,14,69.337,4.539,64.798,-157,-42.745,1488.053
198105,1838,1698,66,1632,13,62.377,3.524,58.853,-234,-43.543,1426.31
198106,1770,1634,63,1571,12,64.923,4.953,59.97,-293,-41.195,1308.775
198107,1797,1663,65,1598,12,66.184,5.336,60.848,-315,-42.182,1313.666
198108,1841,1705,66,1639,12,64.45,4.975,59.475,-354,-43.911,1312.564
198109,1716,1577,61,1516,12,67.316,5.776,61.54,-284,-40.712,1264.828
198110,1781,1643,64,1579,14,79.204,5.108,74.096,-107,-41.426,1518.67
198111,1714,1583,61,1522,15,81.94,5.14,76.8,45,-39.989,1618.811
198112,1860,1718,67,1651,19,92.544,4.539,88.005,361,-42.569,2076.436
198201,1870,1733.813,71,1663,19,98.077,3.173,94.904,673,-50.229,2399.675
198202,1716,1589.337,65,1524,16,85.337,4.563,80.774,410,-46.742,1984.032
198203,1822,1680.631,69,1612,15,81.648,4.599,77.049,183,-49.499,1837.55
198204,1719,1586.327,65,1521,12,71.591,1.614,69.977,-73,-44.633,1485.344
198205,1698,1557.228,64,1493,9,65.324,3.074,62.25,-383,-45.402,1135.848
198206,1647,1510.067,62,1448,9,61.213,5.981,55.232,-353,-44.675,1114.557
198207,1672,1531.139,63,1468,9,66.839,4.54,62.299,-350,-44.481,1144.818
198208,1643,1497.022,61,1436,9,60.809,5.983,54.826,-306,-42.475,1151.351
198209,1574,1435.813,59,1377,9,65.515,4.515,61,-265,-41.768,1140.232
198210,1615,1464.912,60,1405,11,76.522,4.53,71.992,-135,-42.989,1310.003
198211,1627,1480.967,61,1420,13,90.532,4.58,85.952,83,-42.475,1559.477
198212,1669,1515.084,62,1453,14,109.928,4.575,105.353,211,-44.723,1738.63
198301,1748.117,1596.121,71.966,1524.154,15.587,112.108,4.59,107.518,582.943,-16.988,2213.214
198302,1521.467,1386.471,63.97,1322.501,11.99,94.673,4.572,90.101,286.511,132.187,1843.29
198303,1577.466,1426.469,65.969,1360.5,11.99,85.912,4.585,81.327,361.924,-68.589,1747.152
198304,1542.366,1395.369,61.971,1333.398,9.592,73.644,4.559,69.085,-6.385,90.851,1496.541
198305,1532.055,1392.06,61.971,1330.089,8.393,61.135,4.583,56.552,-171.903,7.575,1230.706
198306,1495.326,1348.33,59.972,1288.358,8.393,58.866,3.075,55.791,-230.655,-55.375,1066.512
198307,1551.881,1397.885,62.971,1334.914,8.393,58.094,4.548,53.546,-248.608,-86.27,1061.975
198308,1532.451,1377.455,65.969,1311.486,9.592,55.511,6.031,49.48,-223.45,-47.438,1099.67
198309,1462.65,1312.654,63.97,1248.684,9.592,66.866,4.482,62.384,-200.452,-81.944,1038.264
198310,1531.355,1380.359,67.968,1312.391,9.592,64.236,4.449,59.787,-144.022,-136.745,1101.002
198311,1521.775,1376.78,67.968,1308.812,13.189,80.498,4.567,75.931,182.137,-289.812,1290.257
198312,1642.136,1494.141,74.965,1419.176,15.587,106.865,4.597,102.268,259.261,-149.964,1646.329
198401,1895.481,1730.382,79.082,1651.3,12.997,97.339,4.585,92.754,524.324,58.723,2340.098
198402,1655.189,1503.097,69.071,1434.026,9.998,68.9,4.557,64.343,248.679,197.764,1954.809
198403,1699.551,1546.46,71.073,1475.387,9.998,69.161,5.998,63.163,321.586,-29.828,1840.305
198404,1671.84,1512.744,69.072,1443.672,7.998,71.215,4.539,66.676,-44.947,125.223,1598.622
198405,1675.256,1509.156,69.071,1440.085,6.999,65.967,4.559,61.408,-227.717,65.097,1345.87
198406,1623.846,1461.748,67.069,1394.679,6.999,59.292,3.047,56.245,-300.626,18.096,1175.392
198407,1682.57,1515.471,69.072,1446.399,6.999,55.459,4.542,50.917,-323.598,-28.412,1152.304
198408,1658.423,1493.323,68.071,1425.252,7.998,54.104,4.573,49.531,-292.637,-36.266,1153.879
198409,1580.166,1423.071,65.067,1358.004,7.998,56.831,4.549,52.282,-263.673,-69.562,1085.049
198410,1667.575,1496.471,69.071,1427.4,7.998,65.822,4.584,61.238,-198.754,-117.707,1180.176
198411,1661.692,1492.591,68.071,1424.52,10.998,84.502,4.578,79.924,145.809,-268.886,1392.366
198412,1794.932,1619.824,74.077,1545.747,12.997,94.469,4.642,89.827,214.721,-131.635,1731.657
198501,1833.462,1642.424,77.225,1565.199,12.734,103.893,4.668,99.225,619.288,-194.739,2101.708
198502,1672.775,1491.742,70.205,1421.537,8.816,99.497,4.607,94.89,399.517,222.392,2147.152
198503,1689.944,1489.912,71.205,1418.707,7.836,89.554,6.065,83.489,126.77,83.441,1720.244
198504,1601.171,1403.129,66.193,1336.937,10.775,75.513,4.624,70.889,-117.062,144.343,1445.883
198505,1585.096,1389.055,66.191,1322.864,10.775,73.439,1.642,71.797,-276.97,18.876,1147.342
198506,1526.158,1341.112,63.184,1277.928,9.796,65.422,4.578,60.844,-225.987,-46.095,1076.486
198507,1570.088,1374.047,65.189,1308.858,11.755,59.497,6.053,53.444,-269.992,14.702,1118.766
198508,1559.116,1371.076,65.188,1305.887,11.755,60.519,4.585,55.934,-233.004,-22.419,1118.153
198509,1536.11,1344.066,64.185,1279.881,8.816,63.268,4.562,58.706,-256.972,-49.299,1041.132
198510,1594.82,1399.778,66.192,1333.586,11.755,75.802,4.59,71.212,-132.041,-137.21,1147.302
198511,1605.066,1404.027,66.193,1337.835,8.816,77.078,4.651,72.427,107.791,-214.024,1312.844
198512,1832.894,1619.859,75.222,1544.637,12.734,106.233,4.644,101.589,493.417,-248.447,1903.931
198601,1822.072,1620.898,76.389,1544.509,11.709,99.415,4.674,94.741,373.193,128.532,2152.685
198602,1590.678,1406.522,67.47,1339.053,10.733,74.182,3.174,71.008,321.18,143.079,1885.053
198603,1697.033,1492.857,71.437,1421.419,10.733,54.684,5.297,49.387,106.158,143.793,1731.49
198604,1532.501,1341.33,64.494,1276.836,7.806,42.512,5.826,36.686,-68.872,95.377,1347.833
198605,1559.058,1366.904,65.485,1301.42,7.806,52.179,3.017,49.162,-217.801,24.805,1165.392
198606,1488.517,1307.343,62.507,1244.836,7.806,44.427,5.98,38.447,-235.808,-19.104,1036.177
198607,1530.478,1349.304,64.491,1284.813,7.806,48.382,5.65,42.732,-251.791,-52.596,1030.964
198608,1531.488,1352.305,67.49,1284.815,7.806,50.58,6.125,44.456,-258.79,-83.451,994.837
198609,1449.958,1284.803,62.516,1222.287,7.806,54.479,4.553,49.926,-218.82,-121.27,939.93
198610,1549.075,1358.93,64.488,1294.442,8.782,68.628,5.453,63.174,-143.847,-206.123,1016.429
198611,1635.61,1435.435,62.459,1372.976,9.758,70.483,5.985,64.498,126.128,-329.116,1244.243
198612,1744.243,1542.043,70.419,1471.624,14.637,90.497,5.537,84.96,322.161,-217.116,1676.265
198701,1830.364,1612.362,73.751,1538.611,10.422,100.779,5.119,95.66,483.399,-3.286,2124.807
198702,1648.472,1449.437,66.777,1382.661,8.527,83.911,3.431,80.48,290.252,156.323,1918.243
198703,1745.201,1530.167,69.764,1460.403,8.527,85.778,4.619,81.159,108.187,89.437,1747.714
198704,1646.758,1427.734,66.781,1360.953,7.58,68.486,3.153,65.333,-64.881,67.256,1436.241
198705,1641.199,1411.172,65.783,1345.389,6.632,61.422,3.12,58.302,-269.9,42.665,1183.088
198706,1575.395,1351.361,62.792,1288.569,6.632,57.709,4.57,53.139,-230.917,-19.34,1098.082
198707,1592.419,1371.426,64.79,1306.636,7.58,66.211,4.557,61.654,-202.918,-80.57,1092.381
198708,1617.677,1395.657,65.786,1329.871,7.58,74.702,4.557,70.145,-201.903,-81.058,1124.635
198709,1546.332,1331.313,62.796,1268.517,6.632,72.837,4.554,68.283,-211.925,-88.039,1043.469
198710,1691.308,1446.264,66.777,1379.487,7.58,93.094,5.233,87.861,-61.896,-192.906,1220.126
198711,1730.252,1490.212,69.771,1420.441,8.527,107.092,6.432,100.659,50.144,-164.089,1415.682
198712,1874.822,1615.796,76.752,1539.043,15.16,120.51,4.674,115.836,306.288,-169.987,1806.34
198801,1931.603,1663.703,75.893,1587.81,11.783,137.865,4.765,133.1,539.277,-85.376,2186.595
198802,1758.595,1514.696,68.902,1445.794,10.801,116.223,4.65,111.573,412.222,57.306,2037.697
198803,1833.049,1580.151,71.898,1508.253,9.819,111.816,6.218,105.598,160.148,83.129,1866.947
198804,1690.503,1446.606,65.907,1380.7,7.855,94.722,6.354,88.368,-72.905,59.638,1463.656
198805,1730.34,1481.44,67.904,1413.536,6.873,93.37,3.777,89.593,-241.886,34.318,1302.434
198806,1660.533,1407.635,63.909,1343.726,6.873,93.165,8.469,84.696,-243.893,-21.041,1170.361
198807,1680.284,1426.395,64.908,1361.487,6.873,99.844,4.892,94.952,-257.883,-28.943,1176.486
198808,1697.417,1446.517,65.907,1380.611,6.873,95.434,6.008,89.425,-235.883,-18.611,1222.415
198809,1614.511,1364.613,61.912,1302.701,5.891,95.861,7.187,88.674,-267.877,-30.756,1098.633
198810,1753.272,1482.372,66.904,1415.467,7.855,106.884,5.497,101.387,-109.893,-182.891,1231.925
198811,1777.887,1510.986,68.903,1442.084,8.837,120.685,6.771,113.914,42.109,-154.44,1452.505
198812,1871.261,1593.349,72.897,1520.452,10.801,127.943,9.05,118.893,335.198,-165.41,1819.933
198901,1871.079,1607.03,69.956,1537.074,10.974,119.269,6.722,112.548,373.844,6.67,2041.11
198902,1717.41,1484.383,63.959,1420.424,9.976,110.218,7.253,102.965,581.789,-85.633,2029.521
198903,1814.437,1573.421,67.957,1505.464,9.976,113.196,11.127,102.069,262.847,91.018,1971.375
198904,1742.633,1498.615,64.959,1433.656,7.981,110.335,11.137,99.198,-45.099,113.311,1609.047
198905,1775.667,1518.64,65.958,1452.682,7.981,107.98,8.03,99.95,-283.112,101.178,1378.679
198906,1688.471,1456.458,62.96,1393.498,6.983,103.706,8.943,94.763,-360.12,96.326,1231.45
198907,1725.453,1484.431,63.959,1420.472,7.981,101.486,8.681,92.805,-348.122,84.856,1257.991
198908,1720.256,1473.242,62.96,1410.282,7.981,107.77,9.148,98.622,-333.118,68.53,1252.297
198909,1649.263,1402.249,59.962,1342.287,6.983,116.763,8.998,107.766,-286.109,41.635,1212.562
198910,1724.142,1472.124,63.959,1408.165,8.979,122.663,10.453,112.211,-129.098,-32.543,1367.713
198911,1789.778,1532.751,65.958,1466.793,8.979,123.159,7.909,115.25,122.894,-123.689,1590.227
198912,1855.838,1591.803,71.954,1519.849,11.971,144.973,8.471,136.503,769.715,-261.008,2177.029
199001,1938.977,1688.405,71.222,1617.183,12.028,140.176,13.694,126.482,261.319,147.187,2164.199
199002,1719.684,1504.126,63.446,1440.68,10.525,117.576,7.641,109.935,275.146,27.733,1864.019
199003,1841.822,1595.556,67.309,1528.247,11.394,115.979,11.333,104.646,140.205,44.829,1829.32
199004,1752.771,1512.357,63.584,1448.773,10.683,123.36,6.155,117.205,-51.87,107.009,1631.8
199005,1781.076,1529.569,64.522,1465.047,9.165,122.917,5.906,117.011,-260.78,90.391,1420.835
199006,1712.084,1487.364,62.741,1424.623,8.94,117.009,6.209,110.8,-295.855,73.254,1321.763
199007,1757.476,1512.439,63.793,1448.646,9.974,119.686,4.569,115.117,-312.364,52.578,1313.951
199008,1764.953,1518.246,64.038,1454.208,9.04,118.485,4.536,113.95,-291.838,57.594,1342.953
199009,1690.802,1454.351,61.352,1392.999,8.953,119.523,6.597,112.926,-260.295,49.985,1304.567
199010,1841.74,1581.541,66.714,1514.827,9.649,141.974,6.275,135.699,-152.408,-81.142,1426.626
199011,1825.816,1578.68,66.59,1512.09,10.08,139.691,5.897,133.794,12.008,-93.97,1574.002
199012,1895.421,1631.158,68.807,1562.351,12.374,155.884,6.753,149.131,423.798,-168.134,1979.52
199101,1957.667,1685.877,75.926,1609.951,11.556,163.448,9.562,153.886,567.328,-11.472,2331.248
199102,1737.959,1483.427,66.808,1416.619,9.757,137.998,10.566,127.431,296.693,89.149,1939.65
199103,1889.228,1606.874,72.368,1534.506,10.791,151.487,10.001,141.487,168.473,21.108,1876.365
199104,1799.742,1531.264,68.963,1462.302,9.421,143.955,9.039,134.916,-129.824,106.221,1583.035
199105,1786.338,1521.809,68.537,1453.272,8.87,141.292,7.744,133.548,-272.176,60.419,1383.932
199106,1712.514,1450.544,65.327,1385.217,7.545,133.264,6.706,126.558,-284.041,12.543,1247.821
199107,1740.174,1464.959,65.977,1398.982,8.816,134.859,7.83,127.029,-223.661,34.584,1345.751
199108,1740.663,1470.857,66.242,1404.615,8.857,127.139,9.526,117.613,-208.672,13.709,1336.122
199109,1715.762,1463.974,65.932,1398.041,7.791,133.934,10.737,123.197,-225.923,-22.466,1280.641
199110,1863.592,1580.397,71.176,1509.221,9.536,156.635,14.393,142.242,-154.426,-38.145,1468.429
199111,1864.008,1599.756,72.047,1527.708,8.958,168.718,15.105,153.613,209.98,-172.056,1728.204
199112,1942.461,1672.701,75.333,1597.369,10.708,180.585,18.036,162.549,336.434,-66.191,2040.869
199201,1952.053,1663.111,77.495,1585.616,12.137,164.636,16.432,148.203,563.465,-29.005,2280.417
199202,1747.923,1466.733,68.345,1398.388,10.735,175.243,13.986,161.257,418.132,84.16,2072.672
199203,1837.33,1547.288,72.098,1475.189,11.081,180.482,22.511,157.971,323.025,9.835,1977.102
199204,1801.298,1518.106,70.738,1447.368,9.54,176.146,17.754,158.392,-19.635,145.668,1741.334
199205,1841.543,1557.151,72.558,1484.593,8.815,174.312,19.03,155.282,-299.192,126.611,1476.109
199206,1799.501,1514.984,70.593,1444.391,7.86,162.249,17.812,144.436,-348.522,81.659,1329.824
199207,1841.528,1563.702,72.863,1490.839,8.116,167.216,15.868,151.348,-331.105,74.597,1393.796
199208,1798.984,1522.282,70.933,1451.349,8.493,174.733,18.229,156.503,-333.972,56.108,1338.482
199209,1786.2,1507.66,70.252,1437.408,8.483,166.117,18.136,147.982,-321.447,44.003,1316.428
199210,1898.912,1607.569,74.907,1532.661,9.544,176.466,19.272,157.194,-200.864,-77.593,1420.942
199211,1871.098,1587.552,73.974,1513.578,10.873,210.479,18.527,191.952,194.435,-191.738,1719.099
199212,1955.878,1655.671,77.148,1578.522,12.243,209.426,18.724,190.702,528.561,-148.003,2162.025
199301,1965.166,1647.725,76.949,1570.777,12.568,200.07,16.661,183.409,577.677,-28.173,2316.258
199302,1767.708,1480.823,69.154,1411.669,11.23,190.711,12.323,178.388,569.098,28.482,2198.866
199303,1943.064,1626.129,75.94,1550.189,11.621,204.415,16.229,188.186,316.166,111.879,2178.04
199304,1842.904,1542.286,72.025,1470.262,9.564,188.666,11.287,177.379,-112.943,168.427,1712.689
199305,1878.769,1567.985,73.225,1494.76,7.472,171.307,11.324,159.983,-441.43,109.326,1330.112
199306,1794.868,1515.17,70.758,1444.412,8.722,182.364,10.554,171.81,-387.875,107.241,1344.31
199307,1850.299,1547.598,72.273,1475.325,8.4,194.581,12.691,181.889,-362.806,120.885,1423.693
199308,1871.405,1566.351,73.149,1493.203,8.255,197.322,10.623,186.699,-330.076,89.072,1447.153
199309,1832.337,1535.61,71.713,1463.897,7.988,194.027,9.919,184.107,-365.432,41.978,1332.539
199310,1950.32,1620.526,75.679,1544.848,9.742,192.222,8.646,183.576,-158.965,-41.726,1537.474
199311,1965.775,1625.288,75.901,1549.387,11.046,209.619,9.526,200.094,204.631,-157.708,1807.45
199312,2063.028,1706.422,79.69,1626.732,12.391,224.811,10.399,214.412,456.253,-148.53,2161.259
199401,2022.627,1690.77,76.219,1614.551,12.612,240.895,11.097,229.798,785.935,-85.633,2557.263
199402,1815.466,1515.069,68.299,1446.77,10.462,198.661,12.898,185.763,536.654,150.51,2330.159
199403,2028.595,1696.185,76.464,1619.721,9.582,222.858,19.156,203.702,139.69,99.08,2071.776
199404,1924.133,1611.987,72.668,1539.319,8.634,211.749,8.959,202.79,-224.744,145.516,1671.515
199405,1983.962,1668.527,75.217,1593.31,8.289,206.131,8.462,197.67,-415.294,51.382,1435.357
199406,1881.268,1592.186,71.775,1520.411,7.706,200.582,12.596,187.986,-354.69,86.25,1447.663
199407,1942.942,1649.547,74.361,1575.186,8.22,221.166,10.647,210.518,-396.43,58.302,1455.796
199408,1970.795,1656.664,74.682,1581.982,7.629,218.879,13.801,205.078,-353.485,45.626,1486.83
199409,1877.71,1572.818,70.902,1501.916,7.916,209.996,14.236,195.761,-334.324,37.572,1408.841
199410,1981.888,1633.678,73.646,1560.033,8.602,221.627,12.805,208.822,-175.589,-87.517,1514.35
199411,2035.684,1679.577,75.715,1603.862,9.634,225.819,19.384,206.435,102.793,-174.461,1748.263
199412,2115.634,1742.516,78.552,1663.964,11.54,245.477,17.698,227.778,403.566,-187.563,2119.285
199501,2043.131,1676.643,78.028,1598.615,11.881,253.335,13.635,239.7,612.924,-30.815,2432.305
199502,1821.998,1495.384,69.592,1425.792,10.347,235.977,13.115,222.862,531.439,39.849,2230.289
199503,2025.808,1659.694,77.239,1582.455,10.218,250.349,14.63,235.719,227.729,87.209,2143.331
199504,1944.5,1604.162,74.655,1529.508,7.452,231.745,12.138,219.606,-50.615,114.921,1820.872
199505,1996.735,1648.688,76.727,1571.961,7.799,228.259,12.477,215.782,-343.497,164.874,1616.918
199506,1910.423,1586.994,73.856,1513.139,7.781,217.456,15.606,201.85,-379.697,115.449,1458.521
199507,1960.252,1639.474,76.298,1563.176,8.339,222.652,14.552,208.1,-313.341,125.466,1591.74
199508,1964.637,1628.213,75.774,1552.439,8.053,236.891,13.52,223.371,-211.956,89.148,1661.055
199509,1914.391,1580.857,73.57,1507.287,7.429,227.708,11.37,216.338,-321.055,51.607,1461.606
199510,1988.496,1610.256,74.938,1535.318,8.599,236.003,12.25,223.752,-210.39,-26.967,1530.314
199511,2045.375,1656.989,77.113,1579.876,10.43,236.344,12.679,223.666,278.073,-175.042,1917.002
199512,2127.881,1719.118,80.005,1639.114,11.962,264.329,8.146,256.183,595.154,-159.477,2342.935
199601,2049.071,1669.604,80.747,1588.858,12.332,263.615,14.186,249.429,722.755,29.113,2602.488
199602,1937.873,1577.744,76.304,1501.44,10.594,233.756,12.828,220.929,461.636,159.87,2354.467
199603,2051.44,1670.916,80.81,1590.106,10.671,241.526,15.118,226.408,333.231,73.907,2234.322
199604,2000.695,1646.842,79.646,1567.196,9.103,236.857,10.008,226.849,-118.526,173.78,1858.4
199605,2022.453,1676.585,81.085,1595.501,6.416,252.158,8.458,243.699,-339.162,137.459,1643.912
199606,1958.999,1631.55,78.907,1552.644,7.853,226.587,12.138,214.448,-388.174,147.917,1534.687
199607,2007.071,1670.599,80.795,1589.804,8.099,236.864,14.385,222.478,-382.35,99.994,1538.025
199608,2025.37,1675.645,81.039,1594.606,7.848,237.858,17.036,220.822,-357.918,104.43,1569.787
199609,1966.702,1617.688,78.236,1539.452,7.552,237.5,10.566,226.934,-378.767,79.895,1475.066
199610,2030.246,1657.074,80.141,1576.934,8.611,247.52,11.889,235.63,-209.721,-26.095,1585.36
199611,2008.918,1639.885,79.31,1560.576,9.937,251.807,13.979,237.828,272.233,-151.281,1929.292
199612,2054.698,1678.109,81.158,1596.951,10.44,271.366,12.801,258.565,386.728,30.59,2283.273
199701,2086.781,1707.002,82.811,1624.195,10.672,278.288,12.028,266.259,709.028,-69.813,2540.341
199702,1903.271,1546.616,75.031,1471.59,9.354,240.545,12.443,228.102,371.446,193.108,2273.601
199703,2101.041,1717.215,83.307,1633.912,9.204,256.985,16.276,240.709,160.32,112.126,2156.271
199704,1990.883,1636.678,79.4,1557.283,8.452,238.178,13.872,224.306,-60.856,112.852,1842.037
199705,2038.795,1699.199,82.433,1616.771,9.06,241.732,10.097,231.636,-332.86,125.09,1649.697
199706,1949.778,1609.306,78.072,1531.239,6.259,232.118,9.527,222.591,-378.585,154.873,1536.377
199707,2017.602,1671.767,81.102,1590.669,7.475,235.593,10.136,225.458,-292.795,139.855,1670.662
199708,2019.711,1668.595,80.948,1587.651,8.106,244.684,17.633,227.05,-334.069,148.778,1637.517
199709,1985.511,1630.269,79.089,1551.184,6.608,239.486,13.055,226.431,-348.735,103.182,1538.67
199710,2063.389,1685.049,81.746,1603.307,7.864,251.758,12.289,239.469,-217.864,-34.647,1598.128
199711,2005.58,1632.247,79.185,1553.067,9.73,272.091,13.051,259.04,195.783,-86.878,1930.741
199712,2050.335,1662.151,80.636,1581.52,10.37,262.716,16.6,246.116,552.791,-27.496,2363.301
199801,2103.35,1740.662,81.777,1658.885,9.773,286.278,16.632,269.646,485.659,18.675,2442.638
199802,1890.587,1549.369,72.79,1476.58,8.173,251.052,11.346,239.706,301.403,114.158,2140.021
199803,2097.816,1729.596,81.258,1648.339,9.143,263.032,19.488,243.544,254.729,18.879,2174.634
199804,2009.141,1670.166,78.466,1591.701,8.095,253.161,12.886,240.276,-206.048,123.721,1757.746
199805,2053.427,1731.903,81.366,1650.538,7.457,252.31,10.093,242.217,-401.879,94.198,1592.53
199806,1988.362,1660.137,77.994,1582.144,6.215,243.442,13.25,230.192,-336.111,105.296,1587.735
199807,2017.746,1690.82,79.436,1611.386,8.109,266.319,11.166,255.154,-326.254,175.167,1723.562
199808,2037.306,1702.581,79.988,1622.594,7.976,274.809,10.563,264.246,-285.741,127.548,1736.622
199809,1883.936,1545.614,72.614,1473.001,7.83,262.142,11.957,250.185,-230.509,94.932,1595.438
199810,2029.621,1667.795,78.354,1589.442,8.836,266.063,12.975,253.088,-269.396,-28.249,1553.721
199811,1972.556,1615.892,75.916,1539.977,10.114,258.033,12.494,245.538,32.34,-64.69,1763.28
199812,2024.28,1656.813,77.838,1578.976,10.467,275.417,16.157,259.26,452.044,-122.719,2178.028
199901,2065.702,1709.279,83.943,1625.336,10.054,310.79,12.4,298.39,636.093,-16.777,2553.096
199902,1873.657,1540.789,75.668,1465.12,8.254,286.412,12.934,273.478,327.777,68.18,2142.809
199903,2064.381,1705.658,83.765,1621.893,8.408,301.61,16.035,285.575,303.159,-10.402,2208.633
199904,1959.557,1629.521,80.026,1549.496,8.238,271.387,13.001,258.386,-92.245,132.048,1855.922
199905,1975.317,1660.154,81.53,1578.623,8.052,291.454,13.988,277.466,-344.412,65.027,1584.757
199906,1937.399,1620.577,79.587,1540.99,6.322,279.096,11.003,268.093,-314.566,29.455,1530.294
199907,1982.772,1667.637,81.898,1585.739,7.746,296.422,13.294,283.128,-222.562,32.315,1686.365
199908,1986.161,1664.085,81.723,1582.361,7.951,312.081,13.079,299.002,-226.56,61.566,1724.321
199909,1936.842,1610.663,79.1,1531.563,7.308,302.414,12.852,289.562,-322.356,24.595,1530.672
199910,2017.247,1669.079,81.968,1587.111,7.949,304.637,10.161,294.476,-158.756,-101.4,1629.38
199911,1982.844,1640.813,80.58,1560.232,8.441,305.152,18.628,286.524,32.814,-154.898,1733.113
199912,2040.832,1686.596,82.829,1603.767,9.525,324.05,16.04,308.01,553.486,-249,2225.788
200001,2055.436,1708.636,85.911,1622.726,9.019,325.897,17.776,308.122,798.889,-206.313,2532.443
200002,1908.564,1573.807,79.132,1494.676,8.183,300.107,21.015,279.092,460.053,98.65,2340.654
200003,2075.453,1722.304,86.598,1635.707,7.728,306.596,20.505,286.092,155.383,0.55,2085.459
200004,1957.991,1628.474,81.881,1546.594,6.779,294.016,17.015,277.001,-46.764,43.725,1827.336
200005,2001.347,1691.817,85.065,1606.752,6.456,287.793,19.81,267.982,-236.568,91.522,1736.144
200006,1964.009,1651.376,83.032,1568.345,5.835,296.046,16.249,279.797,-291.07,52.996,1615.904
200007,2017.945,1705.843,85.771,1620.073,7.55,322.285,19.546,302.739,-296.001,36.796,1671.158
200008,2038.022,1718.738,86.419,1632.32,7.531,318.308,20.775,297.532,-200.57,76.449,1813.262
200009,1987.026,1663.224,83.628,1579.598,6.43,304.843,20.568,284.275,-297.431,-9.72,1563.151
200010,2097.748,1749.979,87.99,1661.99,7.281,324.527,23.07,301.457,-246.958,-113.716,1610.054
200011,1999.721,1664.842,83.709,1581.133,8.091,329.759,24.767,304.993,294.502,-259.839,1928.879
200012,2070.613,1718.47,86.406,1632.066,9.352,371.425,22.621,348.804,735.239,-116.786,2608.675
200101,2096.948,1753.237,81.309,1671.928,8.754,373.077,25.547,347.531,508.329,140.457,2676.998
